label,modality1_path,modality2_path,modality3_path
1,dummy_data/modality1_sample0.npy,dummy_data/modality2_sample0.npy,dummy_data/modality3_sample0.npy
1,dummy_data/modality1_sample1.npy,dummy_data/modality2_sample1.npy,dummy_data/modality3_sample1.npy
1,dummy_data/modality1_sample2.npy,dummy_data/modality2_sample2.npy,dummy_data/modality3_sample2.npy
1,dummy_data/modality1_sample3.npy,dummy_data/modality2_sample3.npy,dummy_data/modality3_sample3.npy
0,dummy_data/modality1_sample4.npy,dummy_data/modality2_sample4.npy,dummy_data/modality3_sample4.npy
0,dummy_data/modality1_sample5.npy,dummy_data/modality2_sample5.npy,dummy_data/modality3_sample5.npy
1,dummy_data/modality1_sample6.npy,dummy_data/modality2_sample6.npy,dummy_data/modality3_sample6.npy
0,dummy_data/modality1_sample7.npy,dummy_data/modality2_sample7.npy,dummy_data/modality3_sample7.npy
1,dummy_data/modality1_sample8.npy,dummy_data/modality2_sample8.npy,dummy_data/modality3_sample8.npy
0,dummy_data/modality1_sample9.npy,dummy_data/modality2_sample9.npy,dummy_data/modality3_sample9.npy
